Ticker,MSE,MAE,MAPE,R2
AUSA-M.TA,8022.161064,57.84441159,0.681632497,-0.617334347
AUIS.TA,212813.9548,359.8923291,4.792925996,-4.445486249
AMX.TA,281.2170315,7.403668132,0.366048389,-79.31064923
AVER.TA,127077.404,341.9851799,0.363939553,-7.707240081
AVGD.TA,117281.0857,295.8582901,0.164821949,-2.085784999
AVGL.TA,98.53992898,9.420250435,0.072038683,-0.172931349
AVIA.TA,25988.8463,89.27577256,0.491521683,0.09908542
AVIV.TA,14024.17829,110.3809685,0.074638227,0.835299597
AVRT.TA,1069.830174,21.47167612,0.501289455,-0.717724226
AYAL.TA,76047.39741,148.8167764,0.054070386,0.721168778
AZRM.TA,30339.83199,115.0039459,0.057510603,0.133680196
AZRG.TA,1122077.63,797.384845,0.029248186,0.783776929
BCOM.TA,7676.994279,65.67002013,0.04745472,0.849121537
BKFR.TA,4446.72888,54.35829247,0.043700203,0.654060407
BRAN.TA,42779.38087,150.5685202,0.112912961,-0.69496918
BRKT.TA,51.26415939,5.682485962,0.034503621,0.866087778
BVC.TA,31.97316472,4.899072414,0.053931548,0.222779339
ORL.TA,38.32088319,5.222097691,0.056715179,-2.408128244
BHNY.TA,143144.6824,310.222954,1.397525114,-47.68930625
BSEN.TA,125658711.4,10584.41258,0.404059556,-7.32773345
BEZQ.TA,638.4290918,18.39192386,0.038226847,0.714777595
BIG.TA,2584480.504,1034.429719,0.022780456,0.856111734
BIGT.TA,546.1729409,19.61711421,0.129404901,-1.601029153
BKRY.TA,2473.697619,47.04804961,0.151190754,-5.260896646
BIOV.TA,611700.021,392.757531,14.49184189,-144633.5494
BOLT.TA,5828.519469,38.83630708,1.250191595,-1.170076302
BLRX.TA,16.40943438,2.376931722,0.26322907,-0.036054704
BIMT.TA,18.17982194,4.106558297,0.177517804,-6.040946068
BLSR.TA,19716798.58,3381.860391,0.110894796,-1.207572358
BOTI.TA,39976.81104,131.9276828,0.033916988,0.855074715
BONS.TA,1.249393452,0.855683063,0.071555582,0.56218871
BCNV-M.TA,143599747.8,8114.275039,21.2851192,0.10823888
BWAY.TA,22526.1403,116.0273755,0.069354257,0.681040576
BRAM.TA,161.5704632,6.176904818,0.040235357,-0.183519167
BRND.TA,60.65701425,5.205234683,0.022020792,0.878596573
BRIL.TA,26112.32229,135.0424373,0.081077931,0.801417934
BRMG.TA,3134.299948,41.77883737,0.03297119,0.888953728
BBLS.TA,55.10155844,5.682564402,0.169014138,-5.1496178
BLGO.TA,1846.824073,29.9810463,0.03904561,-0.053516301
CISY.TA,48059.21939,168.9871243,0.12235587,-0.397838012
CLAB.TA,52347.18474,174.5186443,0.171074464,-4.275336399
CAMT.TA,91443662.57,7742.326132,0.216831426,-1.121361619
CNTC.TA,168759.5359,270.5192197,45.69033048,-12.35325213
CPTP.TA,97.44346964,5.870806582,4.127476103,0.402979304
CRSM.TA,202041.0916,347.8723809,0.15970094,-1.449489326
CRSR.TA,107225.8266,256.8065165,0.068124938,0.64253917
CRML.TA,22917.33276,93.37376937,0.050713934,0.220445837
CRMT.TA,70412.41095,126.0319666,6.037891441,0.262415697
CAST.TA,158799.8111,334.3256558,0.042030425,0.85226544
CEL.TA,14645.19317,79.58724951,0.044776043,0.663754628
CTPL5.TA,3574113201,43504.28759,4.001996341,-0.78477011
CBI.TA,24.93545117,2.58724239,0.066667323,-1.262106519
CLIS.TA,353711.4423,366.7811706,0.049270404,0.629260944
CFX.TA,380.9573399,14.23461641,0.038837999,0.6320811
CDEV.TA,1040158.919,656.3146437,0.051283924,0.21443161
CGEN.TA,13636.22805,97.66099337,0.150975486,-2.872270401
CMDR.TA,31138728.73,3546.005955,0.10633675,-0.257495327
CNTL-M.TA,31744.02649,146.379843,2.019205824,-659.5106608
CMCT.TA,1249281.667,838.4102886,6.916056862,-7.58027812
DANH.TA,84353.86333,173.3530134,0.073884984,-13.23824287
DANE.TA,993604.3698,784.4311484,0.02157319,0.945292247
DNYA.TA,2108357.911,933.1346046,0.087578507,-0.000860582
DLEA.TA,34389.15255,167.3485475,0.076367087,0.592469244
DLEKG.TA,3314013.529,1459.538967,0.034289617,0.728637726
DLTI.TA,303729.228,493.0400023,0.076146305,-1.362359123
DELG.TA,565178.7473,622.2449981,0.036003519,0.719056132
DIMRI.TA,15044768.87,3261.50651,0.096552923,-1.664854329
DIPL.TA,26721.63775,122.36465,0.033349499,0.937092529
DIFI.TA,5862214.959,1988.096269,0.037220999,0.049395694
DSCT.TA,100675.2772,238.2761965,0.105288913,-1.256835915
DISI.TA,433.4118646,16.79897253,0.043459707,0.887609225
DNA.TA,8.11523449,2.198071767,0.026912028,0.943098991
DRAL.TA,116852.4933,296.896528,0.038777791,0.781392367
DORL.TA,5989.329739,56.03026519,0.042675345,0.666938799
DRSH.TA,11553.10155,87.73663215,0.061291377,-0.858161599
DUNI.TA,10619267,2093.842496,0.082680852,-0.080802907
ECNR.TA,20087.37129,120.5598575,0.058333733,0.869458789
ECPA-M.TA,0.359766644,0.436540999,0.048303438,0.610511251
ELAL.TA,20169.26543,112.6566745,0.160397216,-0.476433889
ESLT.TA,36996504.68,5039.375762,0.062132435,0.555181998
ELCO.TA,2870988.064,1020.582825,0.077959169,-0.284503175
ELTR.TA,27967349.95,3943.887386,0.023968903,0.961513388
ECP.TA,292271.7845,404.2956126,0.049232909,0.773470869
ELCP.TA,1490538.16,751.2845819,0.376640516,-91.32595206
ELCRE.TA,51908.92628,183.1228186,0.044694247,0.735697494
ELWS.TA,1572683.92,1098.799709,0.062252621,0.668717906
ELLO.TA,63010.60689,208.3271628,0.039278974,0.753086783
ELMR.TA,13295.19714,68.6230965,0.056112338,0.444536512
ELRN.TA,248.0317106,11.47156357,0.02760096,0.804903213
ELSPC.TA,13472.29484,79.25059025,0.113783497,0.164425706
EMCO.TA,714.4334122,20.14782467,0.023151296,0.773110015
EMDV.TA,10832.33762,69.00876028,0.029038422,0.710639597
ENDY.TA,27.3654784,3.951041741,0.016105663,0.97778167
ENOG.TA,33213.51735,153.5341281,0.033344358,0.200214232
ENRG.TA,579.3069451,19.14606358,0.015055475,0.79110654
ENLT.TA,11854.59908,88.61506368,0.015023764,0.470424318
ENLV.TA,15496.85237,121.2262226,0.252631696,-3.736525434
EPIT.TA,70950.87231,187.294408,0.242943874,-0.371839522
EQTL.TA,1634836.461,834.9306641,0.059356099,0.190130806
BCUR.TA,376.7043723,15.1691784,0.593193392,-17.4980435
ETGA.TA,16482.62809,112.7015184,0.079989325,0.419676129
EVGN.TA,434278.5799,541.3665203,0.700726668,-0.129904558
EXPO.TA,1251473.13,780.2559348,0.134921035,-1.012312305
FTAL.TA,18793356.26,3055.382114,0.062655506,0.348348794
FEAT.TA,6176.317016,61.75426025,22.65893306,-0.998053746
FIBI.TA,4087997.725,1445.887409,0.08640033,-1.522555308
FIBIH.TA,3969703.516,1417.397715,0.081049156,-1.017672582
FGAS.TA,6628.566514,70.04308909,0.063580461,-2.099381504
FLYS.TA,258.9489836,12.52377502,0.232306484,-6.316326302
FBRT.TA,537647.8774,611.9055751,0.045519,0.369844808
FRSX.TA,9.584623192,2.192896661,0.209476918,-0.993331404
FORTY.TA,409722.2122,489.6274771,0.01604463,0.922588841
FOX.TA,2613339.494,1246.662665,0.047718219,0.462546405
FRDN.TA,61265.76207,138.9479842,0.031498064,0.823306703
GOSS.TA,308.3039218,14.2648705,0.030538682,0.395805122
GCT.TA,1969.026578,34.37885812,0.02998613,0.931674842
GPGB-M.TA,5250.682922,24.13859129,0.366206238,0.966922895
GLTC.TA,95.72321643,8.121798446,0.482906917,-6.702605185
GMLA.TA,31487.7266,154.8975594,4.586200542,0.151687931
GSFI.TA,850478.9848,838.1581416,0.240142763,-4.506311325
