Company Name,Market Sector,Symbol
TGI,Metal & Building Products,TGI
THE ISRAEL CORPORATION,Investment & Holdings,ILCO
THEMIS,Construction,TMIS
THIRDEYE,Defence,THES
TIGBUR,Services,TIGBUR
TIGI,Cleantech,TIGI
TIKUN OLAM CANNABIS,Cannabis,TKUN
TIV TAAM,Retail,TTAM
TOGETHER,Cannabis,TGTR
TOMER ENERGY,Oil & Gas Exploration,TOEN
TONDO SMART,Electronics and Optics,TNDO
TOP SYSTEMS,Software and Internet,TOPS
TOWER,Semiconductors,TSEM
TRUCKNET,Software and Internet,TRAN
TSG,Defence,TSG
TURBOGEN,Cleantech,TURB
TURPAZ,Food,TRPZ
UMH,Investment-Proerties Abroad,UMH
UNET CREDIT,Non Banking Credit,UNCR
UNIC-TECH PARTICIPATION UNIT,Investments In High-Tech,UNTC
UNICORN TECH PARTICIPATION UNIT,Investments In High-Tech,UNCT
UNITRONICS,Electronics and Optics,UNIT
UNIVO,Shell Companies,UNVO
UPSELLON BRANDS,Software and Internet,UPSL
UTRON,Robotics and 3D,UTRN
VERIDIS,Cleantech,VRDS
VICTORY,Retail,VCTR
VILLAR,Investment-Proerties In Israel,VILR
VISION SIGMA,Investment-Proerties In Israel,VISN
VITANIA,Investment-Proerties In Israel,VTNA
WATER IO,Software and Internet,WATR
WESURE GLOBALT,Insurance,WESR
WILK,Foodtech,WILK
WILLT FOOD,Commerce,WLFD
WILLY FOOD INTERNATIONAL,Commerce,WILC
WIND BUZZ,Cleantech,WNBZ
XTL BIO,Biotechnology,XTLB
Y.B RENEWAL,Construction,YBRD
YAACOBI GROUP,Construction,YAAC
YBOX,Construction,YBOX
YOCHANANOF,Retail,YHNF
ZANLAKOL,Food,ZNKL
ZEPHYRUS,Renewable Energy,ZPRS
ZMH,Construction,ZMH
ZOOZ POWER,Cleantech,ZOOZ
ZUR,Investment & Holdings,ZUR
